N,aimed_PNbig,Nbig,Nsmall,NA,aimed_PAbig,NAbig,NAsmall,NBbig,NBsmall,PA,PAbig,PNbig,PABbig,PABsmall,diff_PAB_bigsmall,congruent,cong_tr_ix,side_cloud1,trial_family,total_elem,total_shapeA,total_shapeB,prop_shapeA_total,elem1,shapeA1,shapeB1,elem2,shapeA2,shapeB2,prop_elem_L_R,prop_shapeA_L_R,trial_ix,stimulus_type,resp_type,block_type,left_opt_best,best_opt,left_best,best_resp,trial_nb,block_nb,block_length,elem_look_at,resp_modality,switch_family,switch_type,same_resp_as_previous,transition_trials,transition_stimulus,transition_response,allow_break
75,0.52,39,36,32,0.56,18,14,21,22,0.426666666666667,0.5625,0.52,0.857142857142857,0.636363636363636,0.220779220779221,1,16,1,72,75,32,43,0.426666666666667,39,18,21,36,14,22,0.52,0.5625,184,1,2,3,1,1,0,2,47,6,7,0,1,0,0,0,0,0,0,1
65,0.54,36,29,28,0.48,13,15,23,14,0.430769230769231,0.464285714285714,0.553846153846154,0.565217391304348,1.07142857142857,-0.506211180124224,0,7,2,7,65,28,37,0.430769230769231,29,15,14,36,13,23,0.446153846153846,0.535714285714286,343,2,2,4,1,1,0,2,48,7,10,1,1,1,1,1,1,1,0,0
65,0.56,37,28,26,0.48,12,14,25,14,0.4,0.461538461538462,0.569230769230769,0.48,1,-0.52,0,10,1,10,65,26,39,0.4,37,12,25,28,14,14,0.569230769230769,0.461538461538462,346,2,2,4,0,2,1,1,49,7,10,1,1,0,0,0,0,0,0,0
85,0.54,46,39,38,0.48,18,20,28,19,0.447058823529412,0.473684210526316,0.541176470588235,0.642857142857143,1.05263157894737,-0.409774436090225,0,43,1,43,85,38,47,0.447058823529412,46,18,28,39,20,19,0.541176470588235,0.473684210526316,379,2,2,4,0,2,1,1,50,7,10,1,1,0,0,1,0,0,0,0
85,0.56,48,37,46,0.52,24,22,24,15,0.541176470588235,0.521739130434783,0.564705882352941,1,1.46666666666667,-0.466666666666667,1,54,1,110,85,46,39,0.541176470588235,48,24,24,37,22,15,0.564705882352941,0.521739130434783,446,2,2,4,1,1,0,2,51,7,10,1,1,0,0,0,0,0,0,0
85,0.54,46,39,44,0.44,19,25,27,14,0.517647058823529,0.431818181818182,0.541176470588235,0.703703703703704,1.78571428571429,-1.08201058201058,0,48,1,48,85,44,41,0.517647058823529,46,19,27,39,25,14,0.541176470588235,0.431818181818182,384,2,2,4,0,2,1,1,52,7,10,1,1,0,0,0,0,0,0,0
65,0.54,36,29,27,0.54,15,12,21,17,0.415384615384615,0.555555555555556,0.553846153846154,0.714285714285714,0.705882352941177,0.00840336134453779,1,8,1,64,65,27,38,0.415384615384615,36,15,21,29,12,17,0.553846153846154,0.555555555555556,400,2,2,4,1,1,0,2,53,7,10,1,1,0,0,0,0,0,0,0
65,0.52,34,31,37,0.54,20,17,14,14,0.569230769230769,0.540540540540541,0.523076923076923,1.42857142857143,1.21428571428571,0.214285714285714,1,5,2,61,65,37,28,0.569230769230769,31,17,14,34,20,14,0.476923076923077,0.459459459459459,397,2,2,4,0,2,1,1,54,7,10,1,1,0,0,0,0,0,0,0
75,0.52,39,36,34,0.52,18,16,21,20,0.453333333333333,0.529411764705882,0.52,0.857142857142857,0.8,0.0571428571428571,1,14,2,70,75,34,41,0.453333333333333,36,16,20,39,18,21,0.48,0.470588235294118,406,2,2,4,0,2,1,1,55,7,10,1,1,0,0,1,0,0,0,0
75,0.52,39,36,34,0.48,16,18,23,18,0.453333333333333,0.470588235294118,0.52,0.695652173913043,1,-0.304347826086957,0,14,2,14,75,34,41,0.453333333333333,36,18,18,39,16,23,0.48,0.529411764705882,350,2,2,4,1,1,0,2,56,7,10,1,1,0,0,0,0,0,0,0
